day_stem_code,day_stem_ko,month_branch_code,month_branch_ko,season_phase,climate_condition,primary_use_element,secondary_use_element,avoid_element,modern_rule,source_codes,confidence
sin,신,chuk,축,late_winter,토기가 계절을 전환하므로 막힘과 습도를 함께 조절해야 함,wood,fire,earth,신 일간이 축월에 나면 목을 먼저 살피고 화로 보조하며 토의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
im,임,in,인,early_spring,생장 기운은 강하지만 초봄은 한기가 남고 늦봄은 목기가 과해질 수 있음,metal,earth,wood,임 일간이 인월에 나면 금을 먼저 살피고 토로 보조하며 목의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
im,임,myo,묘,mid_spring,생장 기운은 강하지만 초봄은 한기가 남고 늦봄은 목기가 과해질 수 있음,metal,earth,wood,임 일간이 묘월에 나면 금을 먼저 살피고 토로 보조하며 목의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
im,임,jin,진,late_spring,토기가 계절을 전환하므로 막힘과 습도를 함께 조절해야 함,metal,wood,earth,임 일간이 진월에 나면 금을 먼저 살피고 목으로 보조하며 토의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
im,임,sa,사,early_summer,화기가 강하고 건조해지기 쉬워 수기로 열을 조절해야 함,metal,water,fire,임 일간이 사월에 나면 금을 먼저 살피고 수로 보조하며 화의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
im,임,o,오,mid_summer,화기가 강하고 건조해지기 쉬워 수기로 열을 조절해야 함,metal,water,fire,임 일간이 오월에 나면 금을 먼저 살피고 수로 보조하며 화의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
im,임,mi,미,late_summer,토기가 계절을 전환하므로 막힘과 습도를 함께 조절해야 함,metal,wood,earth,임 일간이 미월에 나면 금을 먼저 살피고 목으로 보조하며 토의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
im,임,sin,신,early_autumn,금기가 강하고 건조해지기 쉬워 온기와 윤택함을 함께 살펴야 함,wood,fire,metal,임 일간이 신월에 나면 목을 먼저 살피고 화로 보조하며 금의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
im,임,yu,유,mid_autumn,금기가 강하고 건조해지기 쉬워 온기와 윤택함을 함께 살펴야 함,wood,fire,metal,임 일간이 유월에 나면 목을 먼저 살피고 화로 보조하며 금의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
im,임,sul,술,late_autumn,토기가 계절을 전환하므로 막힘과 습도를 함께 조절해야 함,metal,wood,earth,임 일간이 술월에 나면 금을 먼저 살피고 목으로 보조하며 토의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
im,임,hae,해,early_winter,수기가 강하고 한랭해져 화기로 온도를 회복해야 함,fire,earth,water,임 일간이 해월에 나면 화를 먼저 살피고 토로 보조하며 수의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
im,임,ja,자,mid_winter,수기가 강하고 한랭해져 화기로 온도를 회복해야 함,fire,earth,water,임 일간이 자월에 나면 화를 먼저 살피고 토로 보조하며 수의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
im,임,chuk,축,late_winter,토기가 계절을 전환하므로 막힘과 습도를 함께 조절해야 함,metal,wood,earth,임 일간이 축월에 나면 금을 먼저 살피고 목으로 보조하며 토의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gye,계,in,인,early_spring,생장 기운은 강하지만 초봄은 한기가 남고 늦봄은 목기가 과해질 수 있음,metal,earth,wood,계 일간이 인월에 나면 금을 먼저 살피고 토로 보조하며 목의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gye,계,myo,묘,mid_spring,생장 기운은 강하지만 초봄은 한기가 남고 늦봄은 목기가 과해질 수 있음,metal,earth,wood,계 일간이 묘월에 나면 금을 먼저 살피고 토로 보조하며 목의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gye,계,jin,진,late_spring,토기가 계절을 전환하므로 막힘과 습도를 함께 조절해야 함,metal,wood,earth,계 일간이 진월에 나면 금을 먼저 살피고 목으로 보조하며 토의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gye,계,sa,사,early_summer,화기가 강하고 건조해지기 쉬워 수기로 열을 조절해야 함,metal,water,fire,계 일간이 사월에 나면 금을 먼저 살피고 수로 보조하며 화의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gye,계,o,오,mid_summer,화기가 강하고 건조해지기 쉬워 수기로 열을 조절해야 함,metal,water,fire,계 일간이 오월에 나면 금을 먼저 살피고 수로 보조하며 화의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gye,계,mi,미,late_summer,토기가 계절을 전환하므로 막힘과 습도를 함께 조절해야 함,metal,wood,earth,계 일간이 미월에 나면 금을 먼저 살피고 목으로 보조하며 토의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gye,계,sin,신,early_autumn,금기가 강하고 건조해지기 쉬워 온기와 윤택함을 함께 살펴야 함,wood,fire,metal,계 일간이 신월에 나면 목을 먼저 살피고 화로 보조하며 금의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gye,계,yu,유,mid_autumn,금기가 강하고 건조해지기 쉬워 온기와 윤택함을 함께 살펴야 함,wood,fire,metal,계 일간이 유월에 나면 목을 먼저 살피고 화로 보조하며 금의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gye,계,sul,술,late_autumn,토기가 계절을 전환하므로 막힘과 습도를 함께 조절해야 함,metal,wood,earth,계 일간이 술월에 나면 금을 먼저 살피고 목으로 보조하며 토의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gye,계,hae,해,early_winter,수기가 강하고 한랭해져 화기로 온도를 회복해야 함,fire,earth,water,계 일간이 해월에 나면 화를 먼저 살피고 토로 보조하며 수의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gye,계,ja,자,mid_winter,수기가 강하고 한랭해져 화기로 온도를 회복해야 함,fire,earth,water,계 일간이 자월에 나면 화를 먼저 살피고 토로 보조하며 수의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gye,계,chuk,축,late_winter,토기가 계절을 전환하므로 막힘과 습도를 함께 조절해야 함,metal,wood,earth,계 일간이 축월에 나면 금을 먼저 살피고 목으로 보조하며 토의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
