hexagram_id,sequence,name_zh,name_ko,lower_trigram_id,upper_trigram_id,binary_bottom_to_top,unicode,part,judgment_text,judgment_translation,tuan_text,tuan_translation,great_image_text,great_image_translation,source_note,external_legge_url
29,29,坎,감,6,6,010010,䷜,상경,習坎：有孚，維心亨。行有尚。,감(坎) 습감 유부유심 형 행유상(習坎，有孚維心，亨。行有尚) 고생에 익숙하다. 오직 믿을것은 마음뿐이다. 형하다. 행함에 높은바가있다.,習坎，重險也。水流而不盈，行險而不失其信。維心亨，乃以剛中也。行有尚，往有功也。天險不可升也，地險山川丘陵也，王公設險以守其國，坎之時用大矣哉！,"습감(習坎)은 거듭된 험이다. 물이 흘러도 차지 않으며, 험을 행해도 그 믿음을 잃지 않는다. 오직 마음이 형통함은, 강이 가운데 있기 때문이다. 행함에 높은 바가 있음은, 가면 공이 있기 때문이다. 하늘의 험은 오를 수 없고, 땅의 험은 산천 구릉이며, 왕공이 험을 설치하여 그 나라를 지키니, 감의 때의 쓰임이 크도다!",水洊至，習坎；君子以常德行，習教事。,"물이 거듭 이르름이 습감괘이니, 군자가 이를 본받아 덕행을 항상하게 하고, 가르치는 일을 익힌다.",01_경문_64괘/029_감_坎.md,https://baharna.com/iching/legge/010010.htm
30,30,離,리,3,3,101101,䷝,상경,離：利貞。亨。畜牝牛，吉。,리(離) 이정 형 휵목우 길(利貞，亨。畜牝牛，吉) 리는 바르면 길하다. 형하다. 암소를 기른다. 길하다.,離，麗也；日月麗乎天，百谷草木麗乎土，重明以麗乎正，乃化成天下。柔麗乎中正，故亨；是以畜牝牛吉也。,"리(離)는 붙음이다. 해와 달은 하늘에 붙고, 온갖 곡식과 초목은 땅에 붙는다. 거듭 밝음이 바름에 붙어 이에 천하를 교화해 이룬다. 유(음)가 중정에 붙으니 형통하다. 이로써 암소를 기름이 길하다.",明兩作離，大人以繼明照于四方。,"밝음이 둘 겹쳐 일어남이 리괘니, 대인이 이를 본받아 이어 밝음으로 사방을 비춘다.",01_경문_64괘/030_리_離.md,https://baharna.com/iching/legge/101101.htm
31,31,咸,함,7,2,001110,䷞,하경,咸：亨。利貞。取女吉。,함(咸) 형 이정 취녀길(亨，利貞，取女吉) 함은 형하고 바르면 길하고 여자를 의지하면 길하다.,咸，感也。柔上而剛下，二氣感應以相與，止而說，男下女，是以亨利貞，取女吉也。天地感而萬物化生，聖人感人心而天下和平；觀其所感，而天地萬物之情可見矣！,"함(咸)은 감응(感)이다. 유가 위에 있고 강이 아래에 있어, 두 기운이 감응하여 서로 더불고, 그치고 기뻐하며, 남자가 여자 아래에 있으니, 이로써 형통하고 바르며 여자를 취함이 길하다. 천지가 감응하여 만물이 화생하고, 성인이 사람 마음을 감동시켜 천하가 화평하다. 그 감응하는 바를 보면 천지 만물의 정을 볼 수 있다!",山上有澤，咸；君子以虛受人。,"산 위에 못이 있음이 함괘이니, 군자가 이를 본받아 빈 마음으로 남을 받아들인다.",01_경문_64괘/031_함_咸.md,https://baharna.com/iching/legge/001110.htm
32,32,恒,항,5,4,011100,䷟,하경,恆：亨，无咎。利貞，利有攸往。,항(恒) 형 무구 이정 이유유왕 (亨，无咎，利貞，利有攸往) 항은 형하고 허물없다. 바르니 길하다. 갈바가있어 이롭다.,恆，久也。剛上而柔下，雷風相與，巽而動，剛柔皆應，恆。恆亨无咎，利貞；久于其道也，天地之道，恆久而不已也。利有攸往，終則有始也。日月得天，而能久照，四時變化，而能久成，聖人久于其道，而天下化成；觀其所恆，而天地萬物之情可見矣！,"항(恒)은 오래함이다. 강이 위에 있고 유가 아래에 있으며, 우레와 바람이 서로 더불고, 유순하게 움직이며, 강과 유가 다 응하니 항이다. 항은 형통하고 허물이 없으며 바르게 함이 이롭다. 그 도에 오래하기 때문이다. 천지의 도는 항구하여 그치지 않는다. 가는 바가 있어 이로운 것은, 끝이 있으면 다시 시작이 있기 때문이다. 해와 달은 하늘을 얻어 오래 비추고, 사시는 변화하여 오래 이루며, 성인은 그 도에 오래하여 천하를 교화해 이룬다. 그 오래하는 바를 보면 천지 만물의 정을 볼 수 있다!",雷風，恆；君子以立不易方。,"우레와 바람이 항괘니, 군자가 이를 본받아 서서 방향을 바꾸지 않는다.",01_경문_64괘/032_항_恒.md,https://baharna.com/iching/legge/011100.htm
33,33,遯,둔,7,1,001111,䷠,하경,遯：亨。小利貞。,돈(遯) 형 소이정 (亨，小利貞) 돈은 형하고 바르나 이로움은 작다.,遯亨，遯而亨也。剛當位而應，與時行也。小利貞，浸而長也。遯之時義大矣哉！,"둔(遯)은 형통하다. 물러나서 형통함이다. 강이 자리에 마땅하고 응하며, 때와 함께 행하기 때문이다. 작게 바름이 이로운 것은, 차츰 자라기 때문이다. 둔의 때의 뜻이 크도다!",天下有山，遯；君子以遠小人，不惡而嚴。,"하늘 아래 산이 있음이 둔괘이니, 군자가 이를 본받아 소인을 멀리하되, 미워하지 않고 엄숙하게 한다.",01_경문_64괘/033_둔_遯.md,https://baharna.com/iching/legge/001111.htm
34,34,大壯,대장,1,4,111100,䷡,하경,大壯：利貞。,대장(大壯) 이정(利貞) 대장은 바르니 이롭다.,大壯，大者壯也。剛以動，故壯。大壯利貞；大者正也。正大而天地之情可見矣！,"대장(大壯)은 큰 것이 굳셈이다. 강으로 움직이니 굳세다. 대장은 바르게 함이 이롭다. 큰 것이 바르니, 바르고 크면 천지의 정을 볼 수 있다!",雷在天上，大壯；君子以非禮弗履。,"우레가 하늘 위에 있음이 대장괘이니, 군자가 이를 본받아 예가 아니면 밟지 않는다.",01_경문_64괘/034_대장_大壯.md,https://baharna.com/iching/legge/111100.htm
35,35,晉,진,8,3,000101,䷢,하경,晉：康侯用錫馬蕃庶，晝日三接。,진(晉) 강 후용사마번서 획일삼접(康侯用錫馬蕃庶，晝日三接) 진은 훌륭한 신하가 여러번 많은 말을 하사받고 낮으로 여러번 접견한다.,晉，進也。明出地上，順而麗乎大明，柔進而上行。是以康侯用錫馬蕃庶，晝日三接也。,"진(晉)은 나아감이다. 밝음이 땅 위에 나와, 순하여 크게 밝은 데 붙고, 유가 나아가 위로 행한다. 이로써 편안한 제후가 많은 말을 하사받아, 대낮에 세 번 접견받는다.",明出地上，晉；君子以自昭明德。,"밝음이 땅 위에 나옴이 진괘이니, 군자가 이를 본받아 스스로 밝은 덕을 드러낸다.",01_경문_64괘/035_진_晉.md,https://baharna.com/iching/legge/000101.htm
36,36,明夷,명이,3,8,101000,䷣,하경,明夷：利艱貞。,명이 이간정(明夷 利艱貞) 명이는 이로우나 고생하여 바르다.,明入地中，明夷。內文明而外柔順，以蒙大難，文王以之。利艱貞，晦其明也，內難而能正其志，箕子以之。,"밝음이 땅 가운데로 들어감이 명이(明夷)다. 안은 문명하고 밖은 유순하여 큰 난을 겪으니, 문왕이 이로써 했다. 어렵게 바름이 이로운 것은, 그 밝음을 가리기 때문이다. 안의 난 속에서도 그 뜻을 바르게 할 수 있으니, 기자가 이로써 했다.",明入地中，明夷；君子以蒞眾，用晦而明。,"밝음이 땅 가운데로 들어감이 명이괘이니, 군자가 이를 본받아 무리를 거느리되, 어둠을 써서 밝게 한다.",01_경문_64괘/036_명이_明夷.md,https://baharna.com/iching/legge/101000.htm
37,37,家人,가인,3,5,101011,䷤,하경,家人：利女貞。,가인 이여정(家人 利女貞) 가인은 너가 곧으니 이롭다.,家人，女正位乎內，男正位乎外，男女正，天地之大義也。家人有嚴君焉，父母之謂也。父父，子子，兄兄，弟弟，夫夫，婦婦，而家道正；正家而天下定矣。,"가인(家人)은 여자가 안에서 바르고, 남자가 밖에서 바르니, 남녀가 바름은 천지의 큰 의리다. 가인에게 엄한 임금이 있으니, 부모를 말한다. 아버지는 아버지답고, 아들은 아들답고, 형은 형답고, 아우는 아우답고, 지아비는 지아비답고, 아내는 아내다우면 집의 도가 바르다. 집을 바르게 하면 천하가 안정된다.",風自火出，家人；君子以言有物，而行有恆。,"바람이 불에서 나옴이 가인괘이니, 군자가 이를 본받아 말에는 실질이 있고 행동에는 떳떳함이 있게 한다.",01_경문_64괘/037_가인_家人.md,https://baharna.com/iching/legge/101011.htm
38,38,睽,규,2,3,110101,䷥,하경,睽：小事吉。,규(睽) 소사길(小事吉) 작은길은 길하다.,睽，火動而上，澤動而下；二女同居，其志不同行；說而麗乎明，柔進而上行，得中而應乎剛；是以小事吉。天地睽，而其事同也；男女睽，而其志通也；萬物睽，而其事類也；睽之時用大矣哉！,"규(睽)는 불이 위로 움직이고 못이 아래로 움직이며, 두 여자가 함께 살아도 그 뜻이 같지 않다. 기쁘고 밝은 데 붙으며, 유가 나아가 위로 행하고, 가운데를 얻어 강에 응하니, 이로써 작은 일이 길하다. 천지가 어긋나도 그 일은 같고, 남녀가 어긋나도 그 뜻은 통하며, 만물이 어긋나도 그 일은 비슷하다. 규의 때의 쓰임이 크도다!",上火下澤，睽；君子以同而異。,"위는 불 아래는 못이니 규괘라, 군자가 이를 본받아 같으면서도 다르게 한다.",01_경문_64괘/038_규_睽.md,https://baharna.com/iching/legge/110101.htm
39,39,蹇,건,7,6,001010,䷦,하경,蹇：利西南，不利東北；利見大人，貞吉。,"건(蹇) 이서남 불리동북 이견대인 정길(利西南，不利東北,利見大人，貞吉) 건은 서남이 이롭다. 동북이 불리하다. 대인을 만나 이롭다. 곧고 길하다.",蹇，難也，險在前也。見險而能止，知矣哉！蹇利西南，往得中也；不利東北，其道窮也。利見大人，往有功也。當位貞吉，以正邦也。蹇之時用大矣哉！,"건(蹇)은 어려움이다. 험이 앞에 있다. 험을 보고 능히 그치는 것은, 지혜로다! 건은 서남이 이로운 것은, 가면 가운데를 얻기 때문이다. 동북이 이롭지 않은 것은, 그 도가 궁하기 때문이다. 대인을 뵘이 이로운 것은, 가면 공이 있기 때문이다. 자리가 마땅하고 바르면 길함은, 나라를 바르게 하기 때문이다. 건의 때의 쓰임이 크도다!",山上有水，蹇；君子以反身修德。,"산 위에 물이 있음이 건괘이니, 군자가 이를 본받아 자신에게 돌이켜 덕을 닦는다.",01_경문_64괘/039_건_蹇.md,https://baharna.com/iching/legge/001010.htm
40,40,解,해,6,4,010100,䷧,하경,解：利西南，无所往，其來復吉。有攸往，夙吉。,해(解) 이서남 무소왕 기래부길 유유왕 숙길(利西南，无所往，其來復吉。有攸往，夙吉) 해는 서남이 이롭다. 갈바가없다. 그 오는바에서 다시 길하다. 갈바가 있다. 앞서 이르면 길하다.,解，險以動，動而免乎險，解。解利西南，往得眾也。其來復吉，乃得中也。有攸往夙吉，往有功也。天地解，而雷雨作，雷雨作，而百果草木皆甲坼，解之時義大矣哉！,"해(解)는 험으로 움직여, 움직여서 험에서 벗어나니 해다. 해는 서남이 이로운 것은, 가면 무리를 얻기 때문이다. 그 돌아옴이 길함은, 가운데를 얻기 때문이다. 갈 바가 있어 일찍 가면 길함은, 가면 공이 있기 때문이다. 천지가 풀리면 우레와 비가 일고, 우레와 비가 일면 온갖 과실과 초목이 다 껍질을 깨고 나온다. 해의 때의 뜻이 크도다!",雷雨作，解；君子以赦過宥罪。,"우레와 비가 일어남이 해괘이니, 군자가 이를 본받아 허물을 용서하고 죄를 너그럽게 한다.",01_경문_64괘/040_해_解.md,https://baharna.com/iching/legge/010100.htm
41,41,損,손,2,7,110001,䷨,하경,損：有孚，元吉。无咎，可貞，利有攸往。曷之用？二簋可用享。,손(損) 유부 원길 무구 가정 이유유왕 갈지용 이궤가용형(有孚，元吉，无咎，可貞，利有攸往。曷之用？二簋可用享) 손은 믿는바가 있고 본디 길하며 허물없고 바를수있다. 갈바가있어 이롭다. 언제 그것을 사용하는가? 두개의 제기그릇을 형통케 사용할수있다.,損，損下益上，其道上行。損而有孚，元吉，无咎，可貞，利有攸往。曷之用？二簋可用享；二簋應有時。損剛益柔有時，損益盈虛，與時偕行。,"손(損)은 아래를 덜어 위를 더하니, 그 도가 위로 행한다. 덜어도 믿음이 있으면 크게 길하고 허물이 없으며, 바르게 할 수 있고 가는 바가 있어 이롭다. 어찌 쓰겠는가? 두 그릇(이관)으로 제사할 수 있다. 두 그릇은 때에 응한다. 강을 덜고 유를 더함에도 때가 있고, 덜고 더하고 차고 비는 것은 때와 함께 간다.",山下有澤，損；君子以懲忿窒欲。,"산 아래 못이 있음이 손괘이니, 군자가 이를 본받아 분노를 징계하고 욕심을 막는다.",01_경문_64괘/041_손_損.md,https://baharna.com/iching/legge/110001.htm
42,42,益,익,4,5,100011,䷩,하경,益：利有攸往。利涉大川。,익(益) 이유유왕 이섭대천(利有攸往，利涉大川) 익은 갈바가있어 이롭다. 큰강을 건너니 이롭다.,益，損上益下，民說无疆，自上下下，其道大光。利有攸往，中正有慶。利涉大川，木道乃行。益動而巽，日進无疆。天施地生，其益无方。凡益之道，與時偕行。,"익(益)은 위를 덜어 아래를 더하니, 백성이 기뻐함이 끝이 없다. 위에서 아래로 내려가니, 그 도가 크게 빛난다. 가는 바가 있어 이로운 것은, 중정하여 경사가 있기 때문이다. 큰 강을 건넘이 이로운 것은, 목도(木道)가 행해지기 때문이다. 익은 움직여 유순하니, 날로 나아감이 끝이 없다. 하늘이 베풀고 땅이 생하니, 그 이익이 일정한 곳이 없다. 무릇 익의 도는 때와 함께 간다.",風雷，益；君子以見善則遷，有過則改。,"바람과 우레가 익괘니, 군자가 이를 본받아 선을 보면 옮겨가고 허물이 있으면 고친다.",01_경문_64괘/042_익_益.md,https://baharna.com/iching/legge/100011.htm
43,43,夬,괘,1,2,111110,䷪,하경,夬：揚于王庭，孚號，有厲，告自邑，不利即戎，利有攸往。,쾌(夬) 양우왕정 부호 유려 고자압 불리즉융 이유유왕(揚于王庭，孚號，有厲，告自邑，不利即戎，利有攸往) 쾌는 왕뜰에 드러난다. 부름을 믿고 힘쓴다. 자진해서 영합을 고한다. 이롭지 않으나 곧 돕는다. 갈바가있어 이롭다.,夬，決也，剛決柔也。健而說，決而和，揚于王庭，柔乘五剛也。孚號有厲，其危乃光也。告自邑，不利即戎，所尚乃窮也。利有攸往，剛長乃終也。,"괘(夬)는 결단이다. 강이 유를 결단한다. 굳세고 기쁘며, 결단하고 화합하며, 왕의 뜰에 드날림은, 유가 다섯 강을 타고 있기 때문이다. 믿음으로 부르짖어도 위태로움이 있으니, 그 위험이 이에 빛나기 때문이다. 읍에서 고함은, 곧바로 군사를 씀이 이롭지 않기 때문이다. 숭상하는 바가 이에 궁하기 때문이다. 가는 바가 있어 이로운 것은, 강이 자라면 끝나기 때문이다.",澤上于天，夬；君子以施祿及下，居德則忌。,"못이 하늘 위에 오름이 괘괘이니, 군자가 이를 본받아 녹을 아래에 베풀고, 덕에 거하면 꺼린다.",01_경문_64괘/043_괘_夬.md,https://baharna.com/iching/legge/111110.htm
44,44,姤,구,5,1,011111,䷫,하경,姤：女壯，勿用取女。,구(姤) 여장(女壯) 물용취녀(勿用取女) 구는 여자가 장성한 바이다. 여자를 취하는것이 아니다.,姤，遇也，柔遇剛也。勿用取女，不可與長也。天地相遇，品物咸章也。剛遇中正，天下大行也。姤之時義大矣哉！,"구(姤)는 만남이다. 유(음)가 강(양)을 만난다. 여자를 취하지 말라는 것은, 함께 오래할 수 없기 때문이다. 천지가 만나니 온갖 사물이 다 드러난다. 강이 중정을 만나니 천하가 크게 행해진다. 구의 때의 뜻이 크도다!",天下有風，姤；后以施命誥四方。,"하늘 아래 바람이 붊이 구괘이니, 후(임금)가 이를 본받아 명을 베풀어 사방에 고한다.",01_경문_64괘/044_구_姤.md,https://baharna.com/iching/legge/011111.htm
45,45,萃,췌,8,2,000110,䷬,하경,萃：亨。王假有廟，利見大人，亨。利貞。用大牲吉，利有攸往。,췌(萃)는 형(亨) 왕하유묘 이견대인 형 이정 용대생길 이유유왕(王假有廟，利見大人，亨，利貞。用大牲吉，利有攸往) 췌는 형하다. 왕이 종묘있는곳에 이르니 대인을 만나 이롭다. 형통하니 바름이 이롭다. 큰 희생을 사용하니 갈바가 있어 이롭다.,萃，聚也；順以說，剛中而應，故聚也。王假有廟，致孝享也。利見大人亨，聚以正也。用大牲吉，利有攸往，順天命也。觀其所聚，而天地萬物之情可見矣。,"췌(萃)는 모임이다. 순하고 기쁘며, 강이 가운데 있어 응하니 모인다. 왕이 사당에 이름은, 효제의 제사를 지내기 때문이다. 대인을 뵘이 이로워 형통함은, 바름으로 모이기 때문이다. 큰 희생을 쓰면 길하고, 가는 바가 있어 이로운 것은, 하늘의 명을 따르기 때문이다. 그 모이는 바를 보면 천지 만물의 정을 볼 수 있다.",澤上于地，萃；君子以除戎器，戒不虞。,"못이 땅 위에 오름이 췌괘이니, 군자가 이를 본받아 무기를 거두고, 뜻밖을 경계한다.",01_경문_64괘/045_췌_萃.md,https://baharna.com/iching/legge/000110.htm
46,46,升,승,5,8,011000,䷭,하경,升：元亨，用見大人，勿恤，南征吉。,승(升) 원형(元亨)，용견대인(用見大人)，물휼(勿恤)，남정길(南征吉) 오름은 원형이다. 대인을 만나 쓴다. 불쌍히여기지말라 남쪽으로 나아가면 길하다.,柔以時升，巽而順，剛中而應，是以大亨。用見大人，勿恤；有慶也。南征吉，志行也。,"유(음)가 때로 올라간다. 유순하고 순하며, 강이 가운데 있어 응하니, 이로써 크게 형통한다. 대인을 뵘은 근심하지 말라는 것이니, 경사가 있기 때문이다. 남쪽으로 감이 길함은, 뜻이 행해지기 때문이다.",地中生木，升；君子以順德，積小以高大。,"땅 가운데 나무가 자람이 승괘이니, 군자가 이를 본받아 덕을 순히 하여, 작은 것을 쌓아 높고 크게 한다.",01_경문_64괘/046_승_升.md,https://baharna.com/iching/legge/011000.htm
47,47,困,곤,6,2,010110,䷮,하경,困：亨，貞大人吉，无咎，有言不信。,곤(困) 형(亨)，정대인길 무구 유언불신(貞大人吉，无咎，有言不信) 곤 즉 형이다. 곧은 대인이 길하다. 허물이없다. 말은 있고 믿음은 없다.,困，剛掩也。險以說，困而不失其所，亨；其唯君子乎？ 貞大人吉，以剛中也。有言不信，尚口乃窮也。,"곤(困)은 강이 가려진 것이다. 험한데도 기쁘며, 곤하여도 그 곳을 잃지 않으니 형통하다. 오직 군자만이 그러하다. 바르면 대인이 길한 것은, 강이 가운데 있기 때문이다. 말이 있어도 믿지 않음은, 입을 숭상하면 이에 궁하기 때문이다.",澤无水，困；君子以致命遂志。,"못에 물이 없음이 곤괘이니, 군자가 이를 본받아 목숨을 다해 뜻을 이룬다(致命遂志).",01_경문_64괘/047_곤_困.md,https://baharna.com/iching/legge/010110.htm
48,48,井,정,5,6,011010,䷯,하경,井：改邑不改井，无喪无得，往來井井。汔至亦未繘井。羸其瓶，凶。,정(井) 개읍불개정 무상무득 왕래정 정흘 지역미상 유영기병 흉(改邑不改井，无喪无得，往來井。井汔，至亦未繘。井羸其瓶，凶) 정은 마을을 수리하나 우물은 (아직) 수리하지 않음이다. 잃음도 없고 얻음도없다. 오고가는 우물이다. 우물물이 마르고 또한 이르나 두레박줄이 아직이다. 우물이 그 두레박이 고달프다. 근심한다.,巽乎水而上水，井；井養而不窮也。改邑不改井，乃以剛中也。汔至亦未繘井，未有功也。羸其瓶，是以凶也。,"유순하게 물에 들어가 물을 끌어올리니 우물(井)이다. 우물은 기르되 다함이 없다. 읍을 바꿔도 우물은 바꾸지 않음은, 강이 가운데 있기 때문이다. 거의 다 와서도 아직 두레박줄을 풀지 못함은, 아직 공이 없기 때문이다. 그 병이 깨짐은, 이로써 흉하다.",木上有水，井；君子以勞民勸相。,"나무 위에 물이 있음이 정괘이니, 군자가 이를 본받아 백성을 위로하고 서로 권면한다.",01_경문_64괘/048_정_井.md,https://baharna.com/iching/legge/011010.htm
49,49,革,혁,3,2,101110,䷰,하경,革：巳日乃孚，元亨。利貞。悔亡。,혁(革) 이일내부 원형 이정 회망(己日乃孚，元亨，利貞，悔亡) 혁은 그후얼마되지아니한 날에 믿는다. 본디 형하고 바르니 이롭다. 실망을 후회한다.,革，水火相息，二女同居，其志不相得，曰革。巳日乃孚；革而信也。文明以說，大亨以正，革而當，其悔乃亡。天地革而四時成，湯武革命，順乎天而應乎人，革之時義大矣哉！,"혁(革)은 물과 불이 서로 없애고, 두 여자가 함께 살아도 그 뜻이 서로 얻지 못하니 혁이라 한다. 이미 지난 날에 이르러서야 믿음이 생기니, 혁하여 믿음을 받는 것이다. 문명하고 기쁘며, 바름으로 크게 형통하고, 혁이 마땅하면 그 후회가 사라진다. 천지가 혁하여 사시가 이루어지고, 탕·무가 혁명하여 하늘에 순하고 사람에 응하니, 혁의 때의 뜻이 크도다!",澤中有火，革；君子以治歷明時。,"못 가운데 불이 있음이 혁괘이니, 군자가 이를 본받아 역법을 다스려 때를 밝힌다.",01_경문_64괘/049_혁_革.md,https://baharna.com/iching/legge/101110.htm
50,50,鼎,정,5,3,011101,䷱,하경,鼎：元吉，亨。,정(鼎) 원길 형(元吉，亨) 정은 본디 길하고 형통하다.,鼎，象也。以木巽火，亨飪也。聖人亨以享上帝，而大亨以養聖賢。巽而耳目聰明，柔進而上行，得中而應乎剛，是以元亨。,"정(鼎)은 상(象)이다. 나무로 불에 유순히 들어가 익혀 삶는다. 성인이 익혀 상제에게 받들고, 크게 익혀 성현을 기른다. 유순하여 귀와 눈이 밝아지고, 유가 나아가 위로 행하며, 가운데를 얻어 강에 응하니, 이로써 크게 형통한다.",木上有火，鼎；君子以正位凝命。,"나무 위에 불이 있음이 정괘이니, 군자가 이를 본받아 자리를 바르게 하고 명을 굳게 한다.",01_경문_64괘/050_정_鼎.md,https://baharna.com/iching/legge/011101.htm
51,51,震,진,4,4,100100,䷲,하경,震：亨。震來虩虩，笑言啞啞。震驚百里，不喪匕鬯。,진(震) 형 진래색색 소은액액 진경백리 불상비창(亨。震來虩虩，笑言啞啞。震驚百里，不喪匕鬯) 진은 형하다. 천둥이 치니 놀라고 두려워한다. 웃음이 화기애애 웃는다. 우레가 백리를 놀라게한다. 화살촉이 부린활집에 있어 잃지않는다.,震，亨。震來虩虩，恐致福也。笑言啞啞，后有則也。震驚百里，驚遠而懼邇也。出可以守宗廟社稷，以為祭主也。,"진(震)은 형통하다. 우레가 옴에 두렵고 두려우니, 두려움이 복을 부르기 때문이다. 웃고 말함이 왁자함은, 뒤에 법칙이 있기 때문이다. 우레가 백 리를 놀라게 함은, 먼 데를 놀라게 하고 가까운 데를 두렵게 하기 때문이다. 나가면 종묘와 사직을 지킬 수 있어, 제사의 주인이 될 수 있다.",洊雷，震；君子以恐懼修省。,"거듭 우레가 침이 진괘이니, 군자가 이를 본받아 두려워하며 몸을 닦고 살핀다.",01_경문_64괘/051_진_震.md,https://baharna.com/iching/legge/100100.htm
52,52,艮,간,7,7,001001,䷳,하경,艮：艮其背，不獲其身，行其庭，不見其人，无咎。,간(艮)은 간기배 불획기신 행기정 불견기인 무구(艮其背，不獲其身，行其庭，不見其人，无咎) 그등이 견고하다. 그몸을 붙잡지않는다. 그 사냥하는곳을 간다. 타인을 보지않는다. 허물이없다.,艮，止也。時止則止，時行則行，動靜不失其時，其道光明。艮其止，止其所也。上下敵應，不相與也。是以不獲其身，行其庭不見其人，无咎也。,"간(艮)은 그침이다. 때가 그칠 때 그치고, 때가 행할 때 행하니, 움직이고 고요함이 그 때를 잃지 않으면 그 도가 빛난다. 간이 그침은, 그칠 곳에 그치는 것이다. 위아래가 서로 대응하나 함께하지 않는다. 이로써 그 몸을 얻지 못하고, 그 뜰을 행해도 그 사람을 보지 못하니 허물이 없다.",兼山，艮；君子以思不出其位。,"겹친 산이 간괘이니, 군자가 이를 본받아 생각이 그 자리를 벗어나지 않게 한다.",01_경문_64괘/052_간_艮.md,https://baharna.com/iching/legge/001001.htm
53,53,漸,점,7,5,001011,䷴,하경,漸：女歸吉，利貞。,점(漸) 여귀길 이정 (女歸吉，利貞) 점은 작고연약한것이 의지하니 길하다. 바르니 이롭다.,漸之進也，女歸吉也。進得位，往有功也。進以正，可以正邦也。其位剛，得中也。止而巽，動不窮也。,"점(漸)의 나아감은, 여자가 시집감이 길하다. 나아가 자리를 얻으니, 가면 공이 있다. 바름으로 나아가면 나라를 바르게 할 수 있다. 그 자리가 강하고 가운데를 얻었다. 그치고 유순하니, 움직여도 궁하지 않다.",山上有木，漸；君子以居賢德，善俗。,"산 위에 나무가 있음이 점괘이니, 군자가 이를 본받아 어진 덕에 거하며, 풍속을 착하게 한다.",01_경문_64괘/053_점_漸.md,https://baharna.com/iching/legge/001011.htm
54,54,歸妹,귀매,2,4,110100,䷵,하경,歸妹：征凶，无攸利。,귀매 정흉 무유리(歸妹 征凶，无攸利) 귀매는 (먼길을) 가니 흉하다. 이로운바가 없다.,歸妹，天地之大義也。天地不交，而萬物不興，歸妹人之終始也。說以動，所歸妹也。征凶，位不當也。无攸利，柔乘剛也。,"귀매(歸妹)는 천지의 큰 의리다. 천지가 사귀지 않으면 만물이 일어나지 않으니, 귀매는 사람의 끝과 시작이다. 기뻐하며 움직임은, 시집보내는 여자다. 가면 흉함은, 자리가 마땅하지 않기 때문이다. 이로운 바가 없음은, 유가 강을 타고 있기 때문이다.",澤上有雷，歸妹；君子以永終知敝。,"못 위에 우레가 있음이 귀매괘이니, 군자가 이를 본받아 끝까지 오래하고 헤어짐을 안다.",01_경문_64괘/054_귀매_歸妹.md,https://baharna.com/iching/legge/110100.htm
55,55,豐,풍,3,4,101100,䷶,하경,豐：亨。王假之，勿憂，宜日中。,풍(豐) 형 왕격지 물우 의일중 (亨。王假之，勿憂，宜日中) 풍은 형하다. 왕이 가서 이르다. 근심하지마라 밝은대낮의 떳떳함이다.,豐，大也。明以動，故豐。王假之，尚大也。勿憂宜日中，宜照天下也。日中則昃，月盈則食，天地盈虛，與時消息，而況于人乎？況于鬼神乎？,"풍(豐)은 큼이다. 밝아서 움직이니 풍(성대함)이다. 왕이 이르름은, 큼을 숭상하기 때문이다. 근심하지 말고 한낮에 마땅하니, 천하를 비추어야 하기 때문이다. 해가 중천이면 기울고, 달이 차면 이지러지며, 천지도 차고 비고, 때와 함께 사라지고 자라니, 하물며 사람이랴, 하물며 귀신이랴!",雷電皆至，豐；君子以折獄致刑。,"우레와 번개가 다 이름이 풍괘이니, 군자가 이를 본받아 송사를 결단하고 형벌을 베푼다.",01_경문_64괘/055_풍_豐.md,https://baharna.com/iching/legge/101100.htm
56,56,旅,여,7,3,001101,䷷,하경,旅：小亨，旅貞吉。,여 소형 여정길(旅 小亨，旅貞吉) 여는 작은 형이다. 나그네는 바르니 길하다.,旅，小亨，柔得中乎外，而順乎剛，止而麗乎明，是以小亨，旅貞吉也。旅之時義大矣哉！,"여(旅)는 작게 형통하다. 유가 밖에서 가운데를 얻고, 강에 순하며, 그치고 밝은 데 붙으니, 이로써 작게 형통하고, 여는 바르면 길하다. 여의 때의 뜻이 크도다!",山上有火，旅；君子以明慎用刑，而不留獄。,"산 위에 불이 있음이 여괘이니, 군자가 이를 본받아 형벌을 밝고 신중하게 쓰고, 옥사를 오래 머물게 하지 않는다.",01_경문_64괘/056_여_旅.md,https://baharna.com/iching/legge/001101.htm
57,57,巽,손,5,5,011011,䷸,하경,巽：小亨。利有攸往。利見大人。,손 소형 이유왕 이견대인(巽 小亨，利攸往，利見大人) 손은 작은형통이다. 갈바가있어 이롭다. 대인을 만나니 이롭다.,重巽以申命，剛巽乎中正而志行。柔皆順乎剛，是以小亨，利有攸往，利見大人。,"거듭 유순함으로 명을 거듭 펼친다. 강이 중정에 유순히 들어가 뜻이 행해진다. 유(음)가 다 강에 순하니, 이로써 작게 형통하고, 가는 바가 있어 이로우며, 대인을 뵘이 이롭다.",隨風，巽；君子以申命行事。,"바람이 바람을 따름이 손괘이니, 군자가 이를 본받아 명을 거듭 펼쳐 일을 행한다.",01_경문_64괘/057_손_巽.md,https://baharna.com/iching/legge/011011.htm
